Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9999171127378941,0.022261572036295547,0.9956257511724107,0.9962481535357494,19.91415236618448,0.5859514257311821
2,1.0,0.008863882475125137,1.0,1.0,20.655365614098912,0.6068803870677948
3,1.0,0.006417201793847198,1.0,1.0,21.783061124776456,0.6584485375881195
4,1.0,0.006476452405040618,1.0,1.0,21.639572004262284,0.6590455986559391
5,1.0,0.005758920312255214,1.0,1.0,22.133650501194545,0.6850408491492271
6,1.0,0.0057600695725886905,1.0,1.0,22.159815210671535,0.6754074373841286
7,1.0,0.00523644133212656,1.0,1.0,22.31764336672571,0.6868179267644883
8,1.0,0.005442925717397884,1.0,1.0,22.28857524404419,0.6856500181555748
9,1.0,0.005374365126672273,1.0,1.0,22.120934772701894,0.679531574845314
10,1.0,0.0052238229861359285,1.0,1.0,22.66036704151963,0.6975085878372193
11,1.0,0.005119120184544954,1.0,1.0,22.466052427743115,0.6977285334467888
12,1.0,0.004725521017971915,1.0,1.0,22.707224678407677,0.7009667935967445
13,1.0,0.004976891377764332,1.0,1.0,22.48728552032867,0.6983484157919884
14,1.0,0.004956954843000858,1.0,1.0,22.465187011817914,0.6993735444545746
15,1.0,0.004558334704488516,1.0,1.0,22.59956495982044,0.7034137898683548
16,1.0,0.004833099344068614,1.0,1.0,22.62345156521803,0.7003306975960731
17,1.0,0.004763250762389362,1.0,1.0,22.83514787198268,0.7085940358042717
18,1.0,0.005020944501738995,1.0,1.0,22.59767577323537,0.7068229243159294
19,1.0,0.004783345672703945,1.0,1.0,22.76339804686506,0.7087748524546623
20,1.0,0.004604207948946168,1.0,1.0,22.923530959189225,0.716495908498764
21,1.0,0.00462006202908924,1.0,1.0,22.860694685946807,0.7068610009551048
22,1.0,0.004573362531064049,1.0,1.0,22.77503976937559,0.7082466024160385
23,1.0,0.004378057123840335,1.0,1.0,22.798156597921697,0.7149803310632705
24,1.0,0.004831877142187295,1.0,1.0,22.541671101550882,0.7081571954488755
25,1.0,0.004259725102392622,1.0,1.0,22.908202475475523,0.7100902253389358
26,1.0,0.004395329687476988,1.0,1.0,22.54586493932102,0.7047728523612022
27,1.0,0.00457151673655062,1.0,1.0,22.950565189619155,0.7142407256364822
28,1.0,0.004433177250502922,1.0,1.0,22.88082970753578,0.7194678828120231
29,1.0,0.004613534386435276,1.0,1.0,22.904857814906237,0.722147890329361
30,1.0,0.004293125867936851,1.0,1.0,22.90913794925787,0.7163454577326774
31,1.0,0.004340891271590408,1.0,1.0,22.851711687561025,0.7182608020305633
32,1.0,0.004506645257724813,1.0,1.0,23.13974329831174,0.7239175570011139
33,1.0,0.004712189407937331,1.0,1.0,23.00899527355343,0.7208031642436982
34,1.0,0.004192749509852547,1.0,1.0,23.161405602330895,0.7224178299307823
35,1.0,0.004519630880613476,1.0,1.0,22.592695691358486,0.7014355462789535
36,1.0,0.004299599513560679,1.0,1.0,22.612138094876222,0.7177645862102509
37,1.0,0.004634739248476762,1.0,1.0,22.925244079709156,0.7170459419488907
38,1.0,0.004401995015346074,1.0,1.0,22.894279878975965,0.7233211514353752
39,1.0,0.004139119821456916,1.0,1.0,22.696623779636205,0.7264769205451012
40,1.0,0.004424722625444701,1.0,1.0,22.897323917591166,0.7218545144796371
41,1.0,0.004031566009361995,1.0,1.0,22.902473307672736,0.7252750197052955
42,1.0,0.004377102942785313,1.0,1.0,22.669067543730787,0.7126855391263962
43,1.0,0.004094712634469033,1.0,1.0,23.16192942743544,0.7290366676449775
44,1.0,0.004111631607952404,1.0,1.0,23.001895332479275,0.724594167470932
45,1.0,0.0038705620896780603,1.0,1.0,23.006143622536754,0.7214804396033287
46,1.0,0.004311871396357674,1.0,1.0,23.07411905213136,0.7208910748362541
47,1.0,0.0040602189551827905,1.0,1.0,23.166075559555974,0.7259868264198304
48,1.0,0.00429251569007647,1.0,1.0,22.619550271488325,0.7089293813705444
49,1.0,0.0041239214416464165,1.0,1.0,23.15940507789672,0.7336071088910103
50,1.0,0.0044424486516754765,1.0,1.0,23.189335691386603,0.7299819177389145
51,1.0,0.0042091237372051185,1.0,1.0,23.143873062656617,0.7260688036680222
52,1.0,0.0042637508765528765,1.0,1.0,23.15179082106482,0.7251072543859481
53,1.0,0.004069460659457036,1.0,1.0,22.848706686888555,0.7123847004771232
54,1.0,0.003996686998036693,1.0,1.0,23.148839199337136,0.7286065220832825
55,1.0,0.00424348542376265,1.0,1.0,23.1753538647482,0.7325413209199906
56,1.0,0.004415558636014794,1.0,1.0,23.21122531232424,0.7280382639169694
57,1.0,0.004364400780991673,1.0,1.0,23.30846900985213,0.7333099430799485
58,1.0,0.004369707007817851,1.0,1.0,22.974634216831376,0.7262608957290649
59,1.0,0.003984817705586465,1.0,1.0,23.174302365973112,0.7292434343695641
60,1.0,0.004007392796972908,1.0,1.0,23.237706019034068,0.7298661002516746
61,1.0,0.004212491472903821,1.0,1.0,23.209686580084245,0.728650398850441
62,1.0,0.004044381063422407,1.0,1.0,23.135589000466993,0.7261613991856575
63,1.0,0.003961524458572967,1.0,1.0,23.113056252837364,0.7245130768418312
64,1.0,0.004167325014504968,1.0,1.0,23.162218992083208,0.7268753463029861
65,1.0,0.004101108268541793,1.0,1.0,23.12779964769922,0.7285751020908355
66,1.0,0.004179388367274442,1.0,1.0,23.261065503578266,0.7296958869695663
67,1.0,0.004160400630621552,1.0,1.0,23.28387007977859,0.7334553480148316
68,1.0,0.004120853806032301,1.0,1.0,23.201764069205517,0.7292967608571053
69,1.0,0.004145939179065863,1.0,1.0,23.059822620593362,0.7216762351989746
70,1.0,0.00398743154764361,1.0,1.0,23.183948355433913,0.7254749071598053
71,1.0,0.004117307933274788,1.0,1.0,23.113225812117605,0.7302523013949395
72,1.0,0.004170590018720759,1.0,1.0,23.031477548660106,0.7263524135947228
73,1.0,0.004134329462308415,1.0,1.0,23.30732610121442,0.7340267702937127
74,1.0,0.004016529761065613,1.0,1.0,23.27242474063737,0.7305908891558647
75,1.0,0.0041672372665379955,1.0,1.0,23.245008965730733,0.7295661547780037
76,1.0,0.004162772569452499,1.0,1.0,23.16236968604608,0.7288182920217514
77,1.0,0.003997106875074223,1.0,1.0,23.126182351343907,0.7277294379472733
78,1.0,0.004034915992106107,1.0,1.0,23.164723480417333,0.7259287440776825
79,1.0,0.004163808935463749,1.0,1.0,23.254238742536902,0.7347311788797378
80,1.0,0.004189486945706449,1.0,1.0,23.305171887847422,0.7337615263462066
81,1.0,0.0040699439432046345,1.0,1.0,23.275595633727868,0.7315557473897933
82,1.0,0.0038474865938587753,1.0,1.0,23.22707195417359,0.7315736302733421
83,1.0,0.004153245834520476,1.0,1.0,23.20023276405888,0.7299728077650071
84,1.0,0.004152557245811294,1.0,1.0,23.17894127244971,0.7291306257247925
85,1.0,0.004141557305376864,1.0,1.0,23.165037159353194,0.7287838688492775
86,1.0,0.004030805812321887,1.0,1.0,23.26397342100888,0.732979294359684
87,1.0,0.003933997428080147,1.0,1.0,23.102252626710317,0.7237789079546928
88,1.0,0.004247650674919896,1.0,1.0,23.257803230536318,0.73126110881567
89,1.0,0.004252805220539812,1.0,1.0,23.1145315850649,0.7278528726100921
90,1.0,0.003948057276336386,1.0,1.0,23.15704071054209,0.7263986030220986
91,1.0000000011920929,0.004038642687301035,0.9999999506771564,0.9999998494982719,23.195104082394494,0.7291667675971985
92,1.0,0.004125464653807285,1.0,1.0,23.217544121083016,0.7340021699666976
93,1.0,0.004371658817485695,1.0,1.0,23.14739441937181,0.7310539761185646
94,1.0,0.004503125500068563,1.0,1.0,23.136128179918707,0.7264080381393433
95,1.0,0.004258044809325838,1.0,1.0,23.170216459766596,0.7337960264086724
96,1.0,0.004172054904715878,1.0,1.0,23.310753306819283,0.7339868551492691
97,1.0,0.004226039075419976,1.0,1.0,23.228096259261584,0.7316646653413773
98,1.0,0.004111036497597524,1.0,1.0,23.19152555717302,0.7318747809529305
99,1.0,0.004055691863791253,1.0,1.0,23.278902819042578,0.7315984207391739
100,1.0,0.0041133688372701725,1.0,1.0,23.222434976864132,0.7367322742938995
101,1.0,0.0038319938186623403,1.0,1.0,23.319963038816415,0.7330299440026283
102,1.0,0.004230488259327103,1.0,1.0,23.30658246124759,0.7349356588721275
103,1.0,0.0038759111897707045,1.0,1.0,23.062390771518118,0.7281968319416046
104,1.0,0.0040940837701896274,1.0,1.0,22.9219953694841,0.7301725727319718
105,1.0,0.004311793174797458,1.0,1.0,23.318349087387375,0.733125371336937
106,1.0,0.0038908588841377423,1.0,1.0,23.330871557974476,0.7365514874458313
107,1.0,0.003979115458460001,1.0,1.0,23.272268771126775,0.7370954361557961
108,1.0,0.003972747727689238,1.0,1.0,23.27819510500326,0.7327164322137832
109,1.0,0.004322850592948271,1.0,1.0,23.256267765823043,0.7305668807029724
110,1.0,0.003851370199959092,1.0,1.0,23.330116548288814,0.7345455157756805
111,1.0,0.003921401465713643,1.0,1.0,23.320071334158744,0.7339920002222061
112,1.0,0.0037759039944103277,1.0,1.0,23.275419204688312,0.7320212158560753
113,1.0,0.004195090553803311,1.0,1.0,23.32512180748827,0.7353406739234924
114,1.0,0.003966837480538743,1.0,1.0,22.721203391273544,0.7277308368682861
115,1.0,0.0037871093620469765,1.0,1.0,23.364883167428797,0.7387630680203437
116,1.0,0.0038318984193620054,1.0,1.0,23.384096170483787,0.7365135899186135
117,1.0,0.004237390178228679,1.0,1.0,23.168709769636724,0.7348412466049195
118,1.0,0.0036808977525379307,1.0,1.0,23.20071038371868,0.7338016402721405
119,1.0,0.003847495902132323,1.0,1.0,23.32807801298761,0.7341783505678177
120,1.0,0.003998839245791714,1.0,1.0,23.330796155242854,0.7351951643824577
121,1.0,0.004026657163426535,1.0,1.0,23.31404094349798,0.7351247426867485
122,1.0,0.0039857371099901685,1.0,1.0,23.33583940513492,0.7362696838378906
123,1.0,0.004170393711078759,1.0,1.0,23.117202731550183,0.7332068952918053
124,1.0,0.0038844255475578393,1.0,1.0,23.330048212357575,0.7357970815896988
125,1.0000019212067128,0.004170164955180553,0.9998552674800157,0.9996107053011656,23.308210071795322,0.7385077768564224
126,1.0,0.00401047095132526,1.0,1.0,23.36573687777515,0.7353542447090149
127,1.0,0.00422200231234001,1.0,1.0,23.265435554331763,0.7343737757205964
128,1.0,0.0038327668220426857,1.0,1.0,23.42069840740518,0.7399660062789917
129,1.0,0.003982387728256071,1.0,1.0,23.369596631081137,0.73823257625103
130,1.0,0.004129789216376594,1.0,1.0,23.373811036272862,0.736665860414505
131,1.0,0.003916845419450965,1.0,1.0,23.241960783592145,0.7350089395046234
132,1.0,0.003938115672876847,1.0,1.0,23.438481749210837,0.7406124931573868
133,1.0,0.004171324715921401,1.0,1.0,23.28267026450188,0.735187658071518
134,1.0,0.003796783292063992,1.0,1.0,23.350787675418477,0.7348947727680206
