Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9997304207086564,0.021394494875348755,0.9983206801488995,0.998749999552999,19.90700007904515,0.5787808932363987
2,1.0,0.008613033946385257,1.0,1.0,20.977813852205017,0.6210848744213581
3,1.0,0.0066622922976785045,1.0,1.0,21.88779880588854,0.6581671383976936
4,1.0,0.005502203606974945,1.0,1.0,22.20069882412904,0.6793313345313072
5,1.0,0.005925605805423402,1.0,1.0,22.307167956745108,0.6848309105634689
6,1.0,0.005559041008928034,1.0,1.0,22.083884289668838,0.6858942711353302
7,1.0,0.005031249286294042,1.0,1.0,22.469205004379702,0.692535552084446
8,1.0,0.005858005953168686,1.0,1.0,22.679295318984643,0.6991258454322815
9,1.0,0.005611310110834893,1.0,1.0,22.620125575648796,0.6976382192969323
10,1.0,0.0049618014589395895,1.0,1.0,22.71766153597383,0.7019585984945297
11,1.0,0.004728333615439624,1.0,1.0,22.571700633551043,0.6950961115956307
12,1.0,0.005064234659130307,1.0,1.0,22.655093054552214,0.7002322739362716
13,1.0,0.0048007882232468544,1.0,1.0,22.40435435083478,0.7035499480366707
14,1.0,0.004702117210035795,1.0,1.0,22.744160065342353,0.7057595118880272
15,1.0,0.004896038196120571,1.0,1.0,22.813647893233924,0.7097687125205994
16,1.0,0.004519635257893242,1.0,1.0,22.96681823900169,0.7135921081900597
17,1.0,0.004559780695244626,1.0,1.0,22.968873323155915,0.7132836103439331
18,1.0,0.004742854235673804,1.0,1.0,20.927555544611685,0.7042499867081642
19,1.0,0.004711490032095753,1.0,1.0,22.238921090780103,0.6927478671073913
20,1.0,0.004440337436462869,1.0,1.0,22.997171312765374,0.7173014271259308
21,1.0,0.004145221202961693,1.0,1.0,22.932941228917777,0.7137062811851501
22,1.0,0.004478516247004336,1.0,1.0,22.801037873109994,0.7122286060452461
23,1.0,0.00448923510431996,1.0,1.0,22.811935260477092,0.7181487622857093
24,1.0,0.004736939960412201,1.0,1.0,23.10319425407618,0.7191315594315529
25,1.0,0.004299226255852773,1.0,1.0,22.48068502242543,0.7196039962768555
26,1.0,0.004435906817589057,1.0,1.0,23.056535713818008,0.7231266659498214
27,1.0,0.004284740067478196,1.0,1.0,23.015798712676798,0.7227297469973564
28,1.0,0.004278777471854483,1.0,1.0,22.949020648088997,0.7211679175496102
29,1.0,0.0042605272069249625,1.0,1.0,22.781541588928942,0.7134109112620354
30,1.0,0.004594480946971089,1.0,1.0,22.96569425676826,0.7210499411821365
31,1.0,0.00415535968731092,1.0,1.0,23.105419225387983,0.7191845685243606
32,1.0,0.004370206959329152,1.0,1.0,23.124003823197363,0.7262174022197724
33,1.0,0.004610115826494621,1.0,1.0,22.988733559663956,0.7167801624536514
34,1.0,0.00420712381231624,1.0,1.0,23.235360628402255,0.7256524536013603
35,1.0,0.004341002462188044,1.0,1.0,23.132380222783787,0.7289513897895813
36,1.0,0.004201921758290155,1.0,1.0,22.545570676434252,0.7101205694675445
37,1.0,0.004081791558214718,1.0,1.0,23.205133638968128,0.7308816757798194
38,1.0,0.004142154810083411,1.0,1.0,23.202665666262035,0.7242736652493477
39,1.0,0.004213394995213093,1.0,1.0,23.242373529741304,0.7304021334648132
40,1.0,0.00410207268778322,1.0,1.0,23.189165580111823,0.7310959208011627
41,1.0,0.004101150789947497,1.0,1.0,23.12084752105592,0.7218791618943214
42,1.0,0.004291336391088407,1.0,1.0,23.238349938471128,0.730173354446888
43,1.0,0.00385694838170366,1.0,1.0,22.99560203539771,0.7234445309638977
44,1.0,0.004251113422069466,1.0,1.0,23.272881699056374,0.731807407438755
45,1.0,0.004280598213181292,1.0,1.0,23.14528882166941,0.7212212881445885
46,1.0,0.004088437237228391,1.0,1.0,23.217308453102984,0.7285513839125634
47,1.0,0.0040967286371153475,1.0,1.0,23.265360881527727,0.7303917914628982
48,1.0,0.004355291731176294,1.0,1.0,23.25307896442431,0.7273014405369759
49,1.0,0.004383537040380361,1.0,1.0,23.20560406781911,0.7281173965334893
50,1.0,0.0044144375633004525,1.0,1.0,22.697827424922338,0.7222994589805602
51,1.0,0.004200193170163402,1.0,1.0,23.100107821710715,0.7281011447310448
52,1.0,0.00410518147879884,1.0,1.0,23.184991156093382,0.7252332237362862
53,1.0,0.004011876236513672,1.0,1.0,23.04889740894155,0.7253682720661163
54,1.0,0.004010880395940148,1.0,1.0,23.043487777337717,0.7294909712672234
55,1.0,0.0038799323219791404,1.0,1.0,23.234909143956443,0.7264716798067092
56,1.0,0.0039800251661245055,1.0,1.0,22.85008963736697,0.7158524167537689
57,1.0,0.003985323324786805,1.0,1.0,23.277040149632647,0.7296193897724151
58,1.0,0.004257670019715078,1.0,1.0,23.24985176080211,0.7315861940383911
59,1.0,0.0043187082477516014,1.0,1.0,23.27853620517199,0.7303406754136086
60,1.0,0.004185267779841979,1.0,1.0,22.98319407169287,0.7227055785059929
61,1.0,0.00394667660714731,1.0,1.0,23.07403546553905,0.726435218155384
62,1.0,0.0039126709750735246,1.0,1.0,23.156229554199896,0.7234032940864563
63,1.0,0.004305239506679754,1.0,1.0,23.339348321811304,0.733261758685112
64,1.0,0.003986525172467737,1.0,1.0,23.347644556796006,0.7334597164392471
65,1.0,0.003960064115171917,1.0,1.0,23.219854316851958,0.7296795132756233
66,1.0,0.004063060898206458,1.0,1.0,22.711343013087316,0.7272664511203766
67,1.000125299990177,0.004365676160487056,0.9997731376439333,0.9987500528477995,23.312364210506168,0.7344856140017509
68,1.0000000016391277,0.003978607762128376,0.9999999955296517,0.9999999943375587,23.018664536738473,0.7269366723299027
69,1.0,0.003672437305808671,1.0,1.0,23.220597486986385,0.7343547487258911
70,1.0,0.0041918050243020845,1.0,1.0,22.527322507936113,0.7272365587949753
71,1.0,0.004030914565000785,1.0,1.0,22.95239226053626,0.7259461277723313
72,1.0,0.004158531263442455,1.0,1.0,23.29703350002945,0.7367600187659263
73,1.0000000001490117,0.004220095839132227,0.9999999998509884,1.0,22.381137066294276,0.7239664480090141
74,1.0,0.0043778727628205165,1.0,1.0,23.203738842647887,0.7273830354213715
75,1.0,0.004274084171747745,1.0,1.0,23.171270544573666,0.7322328075766563
76,1.0,0.004132335613371651,1.0,1.0,23.299527178234687,0.7324335271120072
77,1.0,0.004176946510106063,1.0,1.0,23.32178642165855,0.735307577252388
78,1.0,0.004014836394153462,1.0,1.0,23.304046072004265,0.7319342786073685
79,1.0,0.004094842171459731,1.0,1.0,23.233348880274622,0.731773957312107
80,1.0,0.0037617441086376857,1.0,1.0,23.265715487808563,0.7375629684329033
81,1.0,0.003948174795227715,1.0,1.0,23.22364933860081,0.735470322072506
82,1.0,0.004278653806509282,1.0,1.0,23.269690407486877,0.7337643575668334
83,1.0,0.00389562400079285,1.0,1.0,23.228354030922446,0.7330670541524887
84,1.0,0.003917457756488147,1.0,1.0,23.286633745367084,0.732011034488678
85,1.0,0.004092533851030566,1.0,1.0,22.719158417023827,0.7288513141870498
86,1.0000000008940697,0.004068487428141907,0.9999999991059303,1.0,23.195650528732838,0.7369922098517417
87,1.0,0.003933861648010861,1.0,1.0,23.194885929179804,0.7350318738818169
88,1.0,0.003752559709735124,1.0,1.0,23.34222242055183,0.7391997760534287
89,1.0,0.004108467103292241,1.0,1.0,22.779768377618627,0.7278689149022103
90,1.0,0.004092889301448395,1.0,1.0,23.32840844322298,0.7324211096763611
91,1.0,0.004149552095323088,1.0,1.0,23.209763165708974,0.7345366925001144
92,1.0,0.003969374494504336,1.0,1.0,23.297296516976257,0.7370332345366478
93,1.0,0.004070322404336366,1.0,1.0,23.232096928270458,0.7325094598531723
94,1.0,0.003996778449445629,1.0,1.0,23.306017915428402,0.7351237079501152
95,1.0,0.003961173023435549,1.0,1.0,23.21225367759059,0.733094011247158
96,1.0,0.004187223522212662,1.0,1.0,23.366195113002675,0.7375599053502083
97,1.0,0.0038656991974903576,1.0,1.0,23.346265046672645,0.7386475020647049
98,1.0,0.003913316584157655,1.0,1.0,23.262233156472078,0.7361960020661354
99,1.0,0.0037462188529252673,1.0,1.0,23.392134782708183,0.7371927401423455
100,1.0,0.004143578231551146,1.0,1.0,23.363594345388474,0.7394096943736076
101,1.0,0.004239964545845396,1.0,1.0,23.312596012748536,0.7347080039978028
