Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9999622815102339,0.021194213243579726,0.0006811071151847009,6.466399852839405e-13,20.19984231966824,0.5915162515640259
2,0.9999999999254942,0.00928983923731721,5.964467625933084e-11,9.326657787268003e-12,20.80034299511358,0.6253638483583928
3,0.9999855620414019,0.007875511447091412,0.14876443791699379,0.150000000013084,21.67234604471071,0.6505170005559922
4,1.0,0.006264751209218957,1.0,1.0,21.96906603132392,0.6687397783994675
5,1.0,0.005767580517567694,1.0,1.0,21.751354617631677,0.6686829951405525
6,1.0,0.006006239818725589,1.0,1.0,21.679577692976373,0.6771952530741692
7,1.0,0.005519099482680759,1.0,1.0,22.387758175982178,0.6855736717581749
8,1.0,0.005715443437857175,1.0,1.0,21.203600635944696,0.6740294843912125
9,1.0,0.0051999155418980085,1.0,1.0,22.571772843482538,0.696321981549263
10,1.0,0.005172927637959219,1.0,1.0,22.70289581075786,0.7013940608501434
11,1.0,0.004912330002698581,1.0,1.0,22.70405327589241,0.7011176019906997
12,1.0,0.005129403968458064,1.0,1.0,22.679712238815636,0.6997816675901413
13,1.0,0.005148952310837558,1.0,1.0,22.575095766969888,0.6981896099448204
14,1.0,0.004862046125699635,1.0,1.0,22.70546848452262,0.7053730806708336
15,1.0,0.004820642054328346,1.0,1.0,22.662603568678108,0.7046572795510292
16,1.0,0.005061843340745327,1.0,1.0,22.660019736135734,0.7020039105415344
17,1.0,0.004812659948474902,1.0,1.0,22.707577466178222,0.7034431645274162
18,1.0,0.004840344678291331,1.0,1.0,22.83202540180229,0.7083571097254753
19,1.0,0.004637821162968975,1.0,1.0,22.890806634428284,0.71145493298769
20,1.0,0.004645537422074995,1.0,1.0,22.907421855280994,0.7112842154502869
21,1.0,0.004554046955108788,1.0,1.0,22.42890870747926,0.6996777835488319
22,1.0,0.004478175764033949,1.0,1.0,22.625679665478813,0.6985173612833023
23,1.0,0.004658454882592196,1.0,1.0,22.534037063397513,0.6966623964905739
24,1.0,0.004458350877603152,1.0,1.0,23.00568392070572,0.7196263855695725
25,1.0,0.004453052201647552,1.0,1.0,22.987624228732027,0.7160230845212936
26,1.0,0.004466351930209385,1.0,1.0,22.77798011058629,0.7160899609327316
27,1.0,0.004529740878697339,1.0,1.0,22.795146330193873,0.7125064995884896
28,1.0,0.0041953755310441924,1.0,1.0,23.096058684505437,0.7216712385416031
29,1.0,0.004530296910274956,1.0,1.0,23.000802973552275,0.7106244730949401
30,1.0,0.004469682320832362,1.0,1.0,23.10642401216626,0.7199678194522857
31,1.0,0.00446702809062117,1.0,1.0,23.02362720341854,0.716636518239975
32,1.0,0.004129478309268961,1.0,1.0,23.0216246409678,0.7246780416369438
33,1.0,0.004292900464993182,1.0,1.0,23.007770098703418,0.7136453616619111
34,1.0,0.0043635388776374386,1.0,1.0,22.595864865422858,0.7070602369308472
35,1.0,0.004543926183123404,1.0,1.0,22.99867025579594,0.7182921427488327
36,1.0,0.00447723323660739,1.0,1.0,23.223719684825124,0.725534753203392
37,1.0,0.004353297131497129,1.0,1.0,20.641719711551566,0.7081121701002121
38,1.0,0.004117337413240421,1.0,1.0,23.06227421914272,0.716887589097023
39,1.0,0.00429760379191066,1.0,1.0,23.061449096024994,0.7258524465560913
40,1.0,0.004002418151408164,1.0,1.0,23.039179769464905,0.7252112355828285
41,1.0,0.004529071108127027,1.0,1.0,21.5974437371611,0.723178154528141
42,1.0,0.004335263572666008,1.0,1.0,23.130164190006887,0.7256141510605812
