Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.999042060226202,0.024171691118899618,0.9977979016606696,0.9974999994040347,19.269449267215634,0.5657949675619602
2,1.0,0.009105548218285549,1.0,1.0,20.627819186229985,0.6447103002667427
3,1.0,0.006557001568726264,1.0,1.0,21.575603221420657,0.6654787239432335
4,1.0,0.006348318157215545,1.0,1.0,22.01003380180548,0.670631203353405
5,1.0,0.0058939574356918455,1.0,1.0,21.79980822771176,0.6740218079090119
6,1.0,0.005531609193139957,1.0,1.0,22.338129967347697,0.6836119067668914
7,1.0,0.005417717791115138,1.0,1.0,22.375019427565732,0.6957019236683846
8,1.0,0.0052580111030692935,1.0,1.0,22.346782665678372,0.6928827646374702
9,1.0,0.005252673386985407,1.0,1.0,22.12170935426186,0.6941586098074913
10,1.0,0.005216543787091723,1.0,1.0,22.30066542202387,0.6947090891003609
11,1.0,0.004861056108529738,1.0,1.0,22.619068798971522,0.7017256757616996
12,1.0,0.005044094998129367,1.0,1.0,22.4820993240927,0.6968451887369156
13,1.0,0.005525077183856411,1.0,1.0,22.64806370005754,0.6988058125972748
14,1.0,0.004816957318416826,1.0,1.0,22.61433062702246,0.7011698794364929
15,1.0,0.004875558924027246,1.0,1.0,22.72463620142129,0.7027176743745804
16,1.0,0.004693775689693211,1.0,1.0,22.724544548754242,0.7008134451508522
17,1.0,0.004287813326636751,1.0,1.0,22.752296806835236,0.7093588155508042
18,1.0,0.0046727329353780074,1.0,1.0,22.836469965897646,0.7082228216528893
19,1.0,0.0045622049314806646,1.0,1.0,22.796147896094933,0.7079087394475937
20,1.0,0.004945664062961441,1.0,1.0,22.9790353979525,0.7133271783590317
21,1.0,0.004701055412442656,1.0,1.0,22.722192766367925,0.7050058797001839
22,1.0,0.004559017405999839,1.0,1.0,22.843828460627357,0.7073712605237961
23,1.0,0.004579849211063447,1.0,1.0,22.98965817410661,0.7133197474479676
24,1.0,0.004318416360265473,1.0,1.0,22.73580722185624,0.701622759103775
25,1.0,0.0043738572377424135,1.0,1.0,22.86588081370409,0.7077498584985733
26,1.0,0.004439974968531715,1.0,1.0,22.99826724349098,0.7178268286585808
27,1.0,0.0044923924372869805,1.0,1.0,22.933693332253952,0.7170399928092956
28,1.0,0.0044285788724846495,1.0,1.0,22.94880355515484,0.7196637734770774
29,1.0,0.00407046415719833,1.0,1.0,22.141214912800468,0.7108132484555244
30,1.0,0.00437945391006906,1.0,1.0,22.708847335949628,0.7130744627118111
31,1.0,0.004588399735421262,1.0,1.0,22.81873291736742,0.7151287025213242
32,1.0,0.004097732263739999,1.0,1.0,23.131606657099223,0.719889364540577
33,1.0,0.00434122442500211,1.0,1.0,23.076442180882403,0.7226280584931374
34,1.0,0.004600256834492029,1.0,1.0,22.996718304886553,0.7228876560926437
35,1.0,0.0043823695939863684,1.0,1.0,22.855031237476137,0.7195140740275383
36,1.0,0.004484553923857675,1.0,1.0,23.071355924234442,0.7235921025276184
37,1.0,0.004301012808859923,1.0,1.0,22.951352536481508,0.7133605432510376
38,1.0,0.004288731166061552,1.0,1.0,23.090332147002236,0.7217119574546814
39,1.0,0.0041781472037155255,1.0,1.0,23.06649037687407,0.7196197503805161
40,1.0,0.00457399120633454,1.0,1.0,23.04465393825414,0.7240394204854965
41,1.0,0.004217876440839064,1.0,1.0,22.664236163175374,0.7199688258767128
42,1.0,0.004643607410362165,1.0,1.0,23.016851245264057,0.7233955106139183
43,1.0,0.004549108601804619,1.0,1.0,22.972599905986456,0.7202733951807022
44,1.0,0.00423425375586703,1.0,1.0,23.08246112474619,0.7196875303983689
45,1.0,0.0042533019448637785,1.0,1.0,23.094795438512694,0.7192785212397576
46,1.0,0.004279096350655891,1.0,1.0,23.170695475791806,0.7283242869377137
47,1.0,0.0038980855596309994,1.0,1.0,22.901168439618566,0.7258131545782089
48,1.0,0.0044349670326710115,1.0,1.0,23.185189119879638,0.7250138774514199
49,1.0,0.004248210148111866,1.0,1.0,23.05097015829105,0.7171131122112274
50,1.0,0.004070360613022786,1.0,1.0,22.89188172373833,0.723966284096241
51,1.0,0.004332559874746948,1.0,1.0,22.871016620111853,0.7082641515135765
52,1.0,0.004200059323579808,1.0,1.0,23.144303268337495,0.7274255177378655
53,1.0,0.004526318481080125,1.0,1.0,22.750891502316016,0.7206983670592308
54,1.0,0.004018825969324098,1.0,1.0,23.220689348379608,0.7310006847977638
55,1.0,0.00423921069664857,1.0,1.0,23.150562291824677,0.7264567050337791
56,1.0,0.004097943420367756,1.0,1.0,23.224972476938994,0.7260391440987587
57,1.0,0.004013791955412671,1.0,1.0,23.122438713210464,0.7266531744599343
58,1.0,0.004252520985478441,1.0,1.0,23.15373330501782,0.7271383464336395
59,1.0,0.004015034209560326,1.0,1.0,23.024073119497803,0.7258725374937057
60,1.0,0.004191596347013728,1.0,1.0,23.162377684517928,0.732286482155323
61,1.0,0.0040865159475151815,1.0,1.0,23.227089290577148,0.7320695495605469
62,1.0,0.004067844595310816,1.0,1.0,22.578005129816265,0.7266265821456909
63,1.0,0.004266754184527599,1.0,1.0,23.233977081268517,0.7302527379989624
64,1.0,0.004122392191643485,1.0,1.0,23.181856269522765,0.7304362380504608
65,1.0,0.003846404107107446,1.0,1.0,23.24412773434281,0.7274654394388199
66,1.0,0.003986944430084805,1.0,1.0,23.20232711378611,0.7328757682442665
67,1.0,0.00440535945758711,1.0,1.0,23.22255235790433,0.7311151197552681
68,1.0,0.004359119286550595,1.0,1.0,23.081530310522275,0.7272028493881225
69,1.0,0.004067323222984669,1.0,1.0,23.138943057975517,0.726362914443016
70,1.0,0.0043135592170483504,1.0,1.0,23.28220064072715,0.7320775833725929
71,1.0,0.0044129413272230526,1.0,1.0,23.23066698869905,0.7304142585396767
72,1.0,0.0042151068503289936,1.0,1.0,23.219660137175243,0.7295440769195557
73,1.0,0.00404669705361357,1.0,1.0,23.148480376392946,0.7281428852677345
74,1.0,0.003764698402060276,1.0,1.0,23.26080904070368,0.7329842451214791
75,1.0,0.004185416230602641,1.0,1.0,22.813118814167368,0.7303237026929855
76,1.0,0.004206943857211627,1.0,1.0,23.19009681798784,0.7293988448381424
77,1.0,0.004138952384193999,1.0,1.0,23.265727672003248,0.7363166964054108
78,1.0,0.004079182027298884,1.0,1.0,23.241330594705612,0.7291250771284103
79,1.0,0.004045958451820297,1.0,1.0,23.271661372473503,0.7343156424164772
80,1.0,0.004010693940772398,1.0,1.0,23.162970490245314,0.7323129186034203
81,1.0,0.003706267916361412,1.0,1.0,23.149035929566693,0.7296798795461654
82,1.0,0.004272003286037034,1.0,1.0,23.238047798710085,0.7309274262189865
83,1.0,0.004043918936590671,1.0,1.0,23.24514206102044,0.7290205466747284
84,1.0,0.004173198813023191,1.0,1.0,23.26047592911642,0.7309861966967582
85,1.0,0.0038183515252785583,1.0,1.0,23.104650568639627,0.7370842894911767
86,1.0,0.004313175594702443,1.0,1.0,23.19928942192,0.7335637935996056
87,1.0,0.004263564786733696,1.0,1.0,23.303036428966788,0.73342848777771
88,1.0,0.003949437336279971,1.0,1.0,23.28870456412111,0.7304678463935852
89,1.0,0.0039442242651762174,1.0,1.0,22.85747453329748,0.7337122076749801
90,1.0,0.004015173927421074,1.0,1.0,23.107649213315,0.7299580556154251
91,1.0,0.004069396883901391,1.0,1.0,23.03052156022236,0.7282865828275681
92,1.0,0.004332282346094871,1.0,1.0,23.174055086418115,0.7329437753558159
93,1.0,0.0040995836620732005,1.0,1.0,23.289076846197986,0.7338523632287979
94,1.0,0.004024258292783998,1.0,1.0,23.308633274379147,0.7338123521208764
95,1.0,0.004204244803427173,1.0,1.0,23.302406676896872,0.7337903925776481
96,1.0,0.0042873596330719015,1.0,1.0,23.24108333211413,0.7376275244355202
97,1.0,0.0040429011536230065,1.0,1.0,23.344970686791807,0.7353961324691772
98,1.0,0.004195731655977397,1.0,1.0,23.070458345972988,0.7292482724785805
99,1.0,0.003956252768234663,1.0,1.0,23.308490355311378,0.7344759491086006
100,1.0,0.004037523588062868,1.0,1.0,23.316577679462686,0.7357459524273873
101,1.0,0.0038159120422551498,1.0,1.0,23.16851680399389,0.7291409459710121
